Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
1,1,-0,18,64,32,557,357,-6,18,62,32,558,361
0,1,1,19,55,44,548,355,0,17,62,35,543,353
0,1,-7,19,57,33,558,368,0,20,61,32,576,373
0,1,6,19,53,47,533,354,0,17,62,35,543,353
0,1,-0,18,61,34,521,351,1,20,56,39,549,362
0,1,0,18,62,35,532,369,-3,20,58,33,568,346
0,1,-10,16,65,32,574,399,4,20,56,39,553,344
1,1,-7,21,56,35,579,356,-7,18,62,32,559,362
1,1,-2,19,55,42,538,369,3,20,60,40,563,362
0,1,-7,21,56,36,578,355,1,17,62,35,543,352
1,1,1,18,62,36,537,353,-7,19,58,33,557,369
1,1,4,17,63,37,562,350,1,17,62,35,542,352
1,1,1,20,62,33,569,342,-1,20,66,31,556,343
0,1,2,20,59,36,533,348,0,18,55,38,539,354
1,1,-0,16,52,49,544,367,0,20,49,44,553,358
1,1,2,16,61,37,508,369,-0,18,61,34,522,352
1,1,0,18,64,32,557,354,1,20,56,39,550,362
1,1,2,17,55,43,516,347,0,18,55,36,559,365
1,1,0,18,61,36,532,372,4,17,63,37,561,349
0,1,-2,19,54,42,538,368,5,18,59,35,525,371
0,1,4,18,64,34,515,359,1,20,61,33,575,372
0,1,-7,18,62,32,559,363,-3,20,58,33,568,347
1,1,1,20,63,33,568,342,3,20,60,40,561,363
1,1,2,20,59,36,532,349,4,20,56,39,555,343
0,1,2,16,61,37,507,371,0,18,55,38,539,356
0,1,-8,19,58,33,560,370,2,20,59,40,561,367
0,1,-7,21,56,36,578,357,6,19,52,47,531,354
0,1,1,20,56,39,552,364,2,17,55,43,516,346
0,1,-0,18,61,34,522,353,5,18,59,35,525,368
1,1,-0,16,53,49,544,366,1,18,63,37,538,353
1,1,0,18,64,32,559,354,-10,16,66,32,574,401
0,1,1,19,55,44,549,353,0,20,49,44,555,359
0,1,-1,20,66,31,557,342,1,18,63,37,540,356
1,1,4,18,64,34,515,358,1,18,65,32,558,353
0,1,2,16,60,37,508,371,1,17,62,35,543,353
1,1,2,20,63,33,569,340,1,17,62,35,543,352
0,1,-3,20,59,32,570,347,2,20,58,36,531,348
1,1,4,17,63,37,562,349,1,18,62,35,534,370
1,1,-1,18,61,34,525,355,-7,18,62,32,557,363
1,1,5,18,59,35,525,366,-7,21,56,36,577,358
0,1,1,19,56,43,549,354,-0,18,62,35,536,372
1,1,0,20,56,39,555,365,0,16,53,50,544,366
1,1,6,19,52,47,531,353,4,20,56,38,554,343
1,1,0,18,55,35,561,365,-2,18,55,42,539,369
0,1,0,18,55,38,538,358,0,20,49,44,557,356
1,1,1,20,61,33,575,372,-10,16,65,32,575,398
