Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
831,MEM,2021-02-04,103,,HOU,L 103-115,240,37,87,.425,25,52,.481,12,35,.343,17,24,.708,103,41,87,.471,22,42,.524,19,45,.422,14,17,.824,115
832,CHI,2021-02-03,103,,NYK,L 103-107,240,43,88,.489,37,52,.712,6,36,.167,11,16,.688,103,43,89,.483,32,67,.478,11,22,.500,10,15,.667,107
833,CHI,2021-01-25,103,,BOS,L 103-119,240,41,88,.466,24,49,.490,17,39,.436,4,10,.400,103,44,87,.506,29,58,.500,15,29,.517,16,20,.800,119
834,SAC,2021-01-22,103,,NYK,W 103-94,240,38,91,.418,26,57,.456,12,34,.353,15,21,.714,103,36,94,.383,31,72,.431,5,22,.227,17,25,.680,94
835,HOU,2021-01-20,103,,PHO,L 103-109,240,37,88,.420,27,57,.474,10,31,.323,19,22,.864,103,42,89,.472,34,55,.618,8,34,.235,17,19,.895,109
836,SAS,2021-01-16,103,,HOU,W 103-91,240,40,100,.400,35,76,.461,5,24,.208,18,23,.783,103,31,84,.369,19,52,.365,12,32,.375,17,27,.630,91
837,PHI,2021-01-09,103,,DEN,L 103-115,240,43,103,.417,32,68,.471,11,35,.314,6,10,.600,103,45,90,.500,33,57,.579,12,33,.364,13,15,.867,115
838,ORL,2021-01-04,103,,CLE,W 103-83,240,38,88,.432,23,54,.426,15,34,.441,12,13,.923,103,33,85,.388,23,57,.404,10,28,.357,7,12,.583,83
839,DEN,2021-01-01,103,,PHO,L 103-106,240,39,86,.453,27,57,.474,12,29,.414,13,16,.813,103,37,76,.487,24,41,.585,13,35,.371,19,21,.905,106
840,SAS,2021-01-01,103,,LAL,L 103-109,240,36,85,.424,23,51,.451,13,34,.382,18,26,.692,103,41,101,.406,27,68,.397,14,33,.424,13,16,.813,109
841,NYK,2021-05-13,102,,SAS,W 102-98,240,35,86,.407,21,51,.412,14,35,.400,18,18,1.000,102,38,91,.418,32,70,.457,6,21,.286,16,19,.842,98
842,CLE,2021-05-12,102,,BOS,W 102-94,240,36,80,.450,28,56,.500,8,24,.333,22,27,.815,102,36,101,.356,24,60,.400,12,41,.293,10,14,.714,94
843,CLE,2021-05-10,102,,IND,L 102-111,240,33,93,.355,20,54,.370,13,39,.333,23,30,.767,102,44,88,.500,33,61,.541,11,27,.407,12,16,.750,111
