Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
10116,Austin Rivers,22,2019-12-28,27-149,HOU,,BRK,W 108-98,,22,5,12,.417,1,3,.333,4,9,.444,0,0,,.583,0,1,1,1,0,0,0,2,14,7.8,4.0,14,G,riverau01
10117,Duncan Robinson,22,2019-11-25,25-217,MIA,,CHO,W 117-100,*,22,2,6,.333,0,0,,2,6,.333,0,0,,.500,0,1,1,2,3,0,0,6,6,4.9,0.9,9,G-F,robindu01
10118,Duncan Robinson,22,2019-12-08,25-230,MIA,,CHI,W 110-105 (OT),*,22,3,9,.333,0,1,.000,3,8,.375,0,0,,.500,1,3,4,0,3,0,0,4,9,6.9,5.5,2,G-F,robindu01
10119,Duncan Robinson,22,2020-02-01,25-285,MIA,@,ORL,W 102-89,*,22,3,7,.429,0,0,,3,7,.429,0,0,,.643,0,1,1,3,0,0,1,0,9,6.7,3.5,6,G-F,robindu01
10120,Duncan Robinson,22,2020-08-03,26-103,MIA,,TOR,L 103-107,*,22,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,0,2,2,0,0,1,0,1,3,0.8,-8.8,-1,G-F,robindu01
10121,Jerome Robinson,22,2020-02-28,23-006,WAS,@,UTA,L 119-129,,22,2,6,.333,1,2,.500,1,4,.250,0,0,,.417,1,3,4,1,1,2,2,1,5,3.9,-5.3,-22,G,robinje01
10122,Jerome Robinson,22,2020-03-01,23-008,WAS,@,GSW,W 124-110,,22,2,5,.400,2,3,.667,0,2,.000,2,2,1.000,.510,0,3,3,0,0,0,1,3,6,2.0,-13.3,-12,G,robinje01
10123,Mitchell Robinson,22,2019-11-14,21-227,NYK,,DAL,W 106-103,,22,7,8,.875,7,8,.875,0,0,,2,2,1.000,.901,3,5,8,0,0,1,1,6,16,14.1,7.2,3,C,robinmi01
10124,Mitchell Robinson,22,2019-12-21,21-264,NYK,,MIL,L 102-123,,22,2,4,.500,2,4,.500,0,0,,2,3,.667,.564,0,1,1,0,3,1,0,6,6,5.2,-2.8,-2,C,robinmi01
10125,Mitchell Robinson,22,2020-01-05,21-279,NYK,@,LAC,L 132-135,,22,4,5,.800,4,5,.800,0,0,,0,0,,.800,0,2,2,1,1,1,0,3,8,7.9,0.7,-3,C,robinmi01
10126,Mitchell Robinson,22,2020-01-08,21-282,NYK,@,UTA,L 104-128,,22,3,4,.750,3,4,.750,0,0,,0,0,,.750,1,3,4,1,0,1,1,2,6,5.6,-4.0,-7,C,robinmi01
10127,Mitchell Robinson,22,2020-01-10,21-284,NYK,,NOP,L 111-123,,22,6,7,.857,6,7,.857,0,0,,0,0,,.857,3,1,4,1,1,0,1,3,12,11.4,1.2,-11,C,robinmi01
10128,Mitchell Robinson,22,2020-01-24,21-298,NYK,,TOR,L 112-118,,22,3,3,1.000,3,3,1.000,0,0,,0,0,,1.000,2,1,3,1,0,1,0,2,6,7.4,1.4,-12,C,robinmi01
10129,Mitchell Robinson,22,2020-03-06,21-340,NYK,,OKC,L 103-126,,22,5,5,1.000,5,5,1.000,0,0,,1,2,.500,.935,2,2,4,0,0,3,1,3,11,11.0,3.4,-11,C,robinmi01
10130,Rajon Rondo,22,2020-02-23,34-001,LAL,,BOS,W 114-112,,22,1,2,.500,1,1,1.000,0,1,.000,2,4,.500,.532,1,0,1,5,5,0,0,1,4,11.0,14.2,15,G,rondora01
10131,Rajon Rondo,22,2020-03-08,34-015,LAL,@,LAC,W 112-103,,22,2,8,.250,2,6,.333,0,2,.000,0,0,,.250,1,1,2,7,0,0,2,3,4,1.9,-8.4,0,G,rondora01
10132,Derrick Rose,22,2019-11-29,31-056,DET,,CHO,L 107-110,,22,8,12,.667,5,8,.625,3,4,.750,4,6,.667,.786,0,2,2,4,0,0,1,1,23,19.0,15.2,-3,G,rosede01
10133,Derrick Rose,22,2019-12-03,31-060,DET,@,CLE,W 127-94,,22,6,12,.500,6,10,.600,0,2,.000,0,1,.000,.482,0,2,2,9,0,0,0,2,12,11.7,-1.0,23,G,rosede01
10134,Terrence Ross,22,2019-10-30,28-267,ORL,,NYK,W 95-83,,22,1,10,.100,1,4,.250,0,6,.000,0,0,,.100,1,0,1,2,0,0,0,4,2,-4.1,-22.0,-13,F-G,rosste01
10135,Terrence Ross,22,2019-11-02,28-270,ORL,,DEN,L 87-91,,22,4,9,.444,2,3,.667,2,6,.333,0,0,,.556,1,4,5,3,2,1,2,2,10,9.2,9.5,-1,F-G,rosste01
10136,Terrence Ross,22,2019-12-04,28-302,ORL,,PHO,W 128-114,,22,7,14,.500,4,8,.500,3,6,.500,5,5,1.000,.679,0,3,3,1,2,0,2,4,22,15.0,1.8,18,F-G,rosste01
10137,Terrence Ross,22,2019-12-18,28-316,ORL,@,DEN,L 104-113,,22,3,8,.375,1,4,.250,2,4,.500,0,0,,.500,0,2,2,1,0,0,1,1,8,3.5,-6.1,1,F-G,rosste01
10138,Terrence Ross,22,2019-12-20,28-318,ORL,@,POR,L 103-118,,22,3,11,.273,2,5,.400,1,6,.167,2,3,.667,.365,1,1,2,0,1,0,2,3,9,0.9,-12.6,-2,F-G,rosste01
10139,Terrence Ross,22,2020-01-06,28-335,ORL,,BRK,W 101-89,,22,3,10,.300,2,5,.400,1,5,.200,3,5,.600,.410,0,3,3,0,3,1,1,1,10,6.6,2.4,-2,F-G,rosste01
10140,Terry Rozier,22,2019-11-10,25-238,CHO,@,PHI,L 106-114,*,22,5,12,.417,4,8,.500,1,4,.250,2,2,1.000,.505,0,1,1,4,2,0,3,4,13,7.1,-3.8,-9,G,roziete01
10141,D'Angelo Russell,22,2019-10-27,23-246,GSW,@,OKC,L 92-120,*,22,3,10,.300,3,9,.333,0,1,.000,0,0,,.300,0,1,1,2,0,0,2,2,6,-0.9,-16.5,-23,G,russeda01
10142,Dario Šarić,22,2019-12-27,25-263,PHO,@,GSW,L 96-105,*,22,3,6,.500,1,1,1.000,2,5,.400,3,3,1.000,.751,4,6,10,2,0,0,3,0,11,11.0,6.5,-2,F-C,saricda01
10143,Dario Šarić,22,2020-01-28,25-295,PHO,@,DAL,W 133-104,,22,4,7,.571,4,4,1.000,0,3,.000,0,0,,.571,2,2,4,2,1,1,2,4,8,6.2,-4.1,1,F-C,saricda01
10144,Dario Šarić,22,2020-08-02,26-116,PHO,,DAL,W 117-115,,22,5,8,.625,4,5,.800,1,3,.333,2,2,1.000,.732,0,8,8,0,0,0,2,3,13,8.6,0.1,-4,F-C,saricda01
10145,Dario Šarić,22,2020-08-08,26-122,PHO,@,MIA,W 119-112,,22,2,5,.400,0,2,.000,2,3,.667,4,4,1.000,.740,0,8,8,1,1,0,2,1,10,9.0,2.8,7,F-C,saricda01
