Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
110,IND,2023-11-08,134,,UTA,W 134-118,240,52,101,0.515,39,60,0.65,13,41,0.317,17,20,0.85,134,45,96,0.469,34,69,0.493,11,27,0.407,17,18,0.944,118
111,SAC,2023-11-08,121,,POR,W 121-118 (OT),265,41,89,0.461,30,52,0.577,11,37,0.297,28,38,0.737,121,44,87,0.506,36,65,0.554,8,22,0.364,22,29,0.759,118
112,MIN,2023-11-08,122,,NOP,W 122-101,240,45,82,0.549,30,45,0.667,15,37,0.405,17,24,0.708,122,36,93,0.387,28,65,0.431,8,28,0.286,21,22,0.955,101
113,HOU,2023-11-08,128,,LAL,W 128-94,240,51,93,0.548,37,60,0.617,14,33,0.424,12,19,0.632,128,36,85,0.424,29,60,0.483,7,25,0.28,15,24,0.625,94
114,OKC,2023-11-08,128,,CLE,W 128-120,240,44,86,0.512,32,58,0.552,12,28,0.429,28,30,0.933,128,42,83,0.506,33,54,0.611,9,29,0.31,27,37,0.73,120
115,CHO,2023-11-08,116,,WAS,L 116-132,240,41,79,0.519,33,54,0.611,8,25,0.32,26,35,0.743,116,47,97,0.485,29,54,0.537,18,43,0.419,20,25,0.8,132
116,DAL,2023-11-08,116,,TOR,L 116-127,240,40,84,0.476,23,43,0.535,17,41,0.415,19,31,0.613,116,49,99,0.495,38,63,0.603,11,36,0.306,18,27,0.667,127
117,BRK,2023-11-08,100,,LAC,W 100-93,240,37,92,0.402,22,51,0.431,15,41,0.366,11,13,0.846,100,36,91,0.396,28,55,0.509,8,36,0.222,13,13,1.0,93
118,IND,2023-11-09,126,,MIL,W 126-124,240,44,92,0.478,24,44,0.545,20,48,0.417,18,20,0.9,126,46,87,0.529,37,60,0.617,9,27,0.333,23,26,0.885,124
119,ORL,2023-11-09,119,,ATL,L 119-120,240,42,90,0.467,32,63,0.508,10,27,0.37,25,35,0.714,119,41,85,0.482,26,46,0.565,15,39,0.385,23,30,0.767,120
120,DAL,2023-11-10,144,,LAC,W 144-126,240,51,98,0.52,32,56,0.571,19,42,0.452,23,26,0.885,144,43,88,0.489,35,61,0.574,8,27,0.296,32,36,0.889,126
121,SAS,2023-11-10,110,,MIN,L 110-117,240,43,92,0.467,31,58,0.534,12,34,0.353,12,19,0.632,110,43,87,0.494,33,60,0.55,10,27,0.37,21,27,0.778,117
122,MEM,2023-11-10,121,,UTA,L 121-127,240,46,101,0.455,27,53,0.509,19,48,0.396,10,13,0.769,121,41,76,0.539,23,39,0.59,18,37,0.486,27,29,0.931,127
123,HOU,2023-11-10,104,,NOP,W 104-101,240,36,88,0.409,26,53,0.491,10,35,0.286,22,28,0.786,104,34,75,0.453,26,50,0.52,8,25,0.32,25,34,0.735,101
124,PHO,2023-11-10,119,,LAL,L 119-122,240,42,94,0.447,27,57,0.474,15,37,0.405,20,27,0.741,119,42,84,0.5,30,57,0.526,12,27,0.444,26,34,0.765,122
125,BOS,2023-11-10,121,,BRK,W 121-107,240,41,94,0.436,22,42,0.524,19,52,0.365,20,28,0.714,121,38,85,0.447,23,48,0.479,15,37,0.405,16,18,0.889,107
126,DET,2023-11-10,106,,PHI,L 106-114,240,40,86,0.465,32,58,0.552,8,28,0.286,18,22,0.818,106,35,83,0.422,26,55,0.473,9,28,0.321,35,41,0.854,114
127,SAC,2023-11-10,105,,OKC,W 105-98,240,38,91,0.418,25,44,0.568,13,47,0.277,16,21,0.762,105,39,87,0.448,32,57,0.561,7,30,0.233,13,16,0.813,98
128,WAS,2023-11-10,117,,CHO,L 117-124,240,43,88,0.489,29,50,0.58,14,38,0.368,17,20,0.85,117,50,110,0.455,44,82,0.537,6,28,0.214,18,28,0.643,124
129,ATL,2023-11-11,109,,MIA,L 109-117,240,38,87,0.437,20,41,0.488,18,46,0.391,15,18,0.833,109,41,84,0.488,29,46,0.63,12,38,0.316,23,25,0.92,117
130,GSW,2023-11-11,110,,CLE,L 110-118,240,37,90,0.411,24,52,0.462,13,38,0.342,23,30,0.767,110,37,86,0.43,26,56,0.464,11,30,0.367,33,43,0.767,118
131,BOS,2023-11-11,117,,TOR,W 117-94,240,47,86,0.547,32,42,0.762,15,44,0.341,8,13,0.615,117,35,91,0.385,25,54,0.463,10,37,0.27,14,16,0.875,94
132,ORL,2023-11-11,112,,MIL,W 112-97,240,36,84,0.429,26,58,0.448,10,26,0.385,30,35,0.857,112,38,77,0.494,29,48,0.604,9,29,0.31,12,25,0.48,97
133,NOP,2023-11-12,124,,DAL,L 124-136,240,47,92,0.511,30,56,0.536,17,36,0.472,13,22,0.591,124,50,102,0.49,30,49,0.612,20,53,0.377,16,21,0.762,136
134,HOU,2023-11-12,107,,DEN,W 107-104,240,37,87,0.425,27,55,0.491,10,32,0.313,23,29,0.793,107,42,91,0.462,33,59,0.559,9,32,0.281,11,14,0.786,104
135,GSW,2023-11-12,110,,MIN,L 110-116,240,37,96,0.385,25,53,0.472,12,43,0.279,24,28,0.857,110,43,82,0.524,34,55,0.618,9,27,0.333,21,30,0.7,116
136,NYK,2023-11-12,129,,CHO,W 129-107,240,47,87,0.54,32,51,0.627,15,36,0.417,20,30,0.667,129,44,94,0.468,32,59,0.542,12,35,0.343,7,11,0.636,107
137,CHI,2023-11-12,119,,DET,W 119-108,240,44,91,0.484,33,61,0.541,11,30,0.367,20,25,0.8,119,38,88,0.432,27,56,0.482,11,32,0.344,21,26,0.808,108
